Genotype,Accession,Group,Block,Rep,Env,Prot_W,Oil_W,Fib_W,Ash_W,Star_W
PHG47,PI601318,non-stiff stalk,1,1,5,12.41,5.59,1.59,1.52,70.03
PHG29,PI601270,non-stiff stalk,1,1,5,11.78,4.67,1.78,1.48,70.29
Oh40B,NSL28966,non-stiff stalk,1,1,5,11.63,5.89,1.48,1.48,69.4
PH207,PI601005,non-stiff stalk,1,1,5,12.78,4.67,1.88,1.57,70.01
DKIB014,PI601208,non-stiff stalk,1,1,5,11.26,4.79,1.8,1.45,69.14
PH207,PI601005,non-stiff stalk,1,1,5,12.8,4.6,1.72,1.53,68.48
LH127,PI538007,non-stiff stalk,1,1,5,12.17,4.64,1.65,1.5,69.05
PHN11,PI601497,non-stiff stalk,1,1,5,12.07,4.87,1.96,1.53,67.25
W153R,PI587154,non-stiff stalk,1,1,5,12.78,5.26,1.72,1.56,68.62
MS224,Ames24749,non-stiff stalk,1,1,5,15.19,5.92,1.7,1.66,67.92
PH207,PI601005,non-stiff stalk,1,1,5,13.73,4.92,2.17,1.64,68.42
L 135,PI601727,non-stiff stalk,1,1,5,11.47,4.7,1.95,1.48,69.53
PHR36,PI601361,non-stiff stalk,1,1,5,11.19,5.57,1.8,1.48,69.21
PH207,PI601005,non-stiff stalk,1,1,5,12.88,4.75,1.97,1.58,67.33
PHP02,PI601570,non-stiff stalk,1,1,5,11.7,3.67,1.81,1.45,67.9
MS225,Ames24750,non-stiff stalk,1,1,5,13.13,5.73,1.81,1.58,67.49
LH82,PI601170,non-stiff stalk,1,1,5,12.21,5.64,1.91,1.55,68.71
PH207,PI601005,non-stiff stalk,1,1,5,13.62,4.51,1.89,1.56,70.37
PHV63,PI601500,non-stiff stalk,2,1,5,8.9,4.78,1.94,1.36,69.6
MS221,Ames24746,non-stiff stalk,2,1,5,12.17,5.15,1.82,1.49,68.54
WIL903,PI601686,non-stiff stalk,2,1,5,12.19,4.98,1.7,1.48,70.8
78551S,PI601562,non-stiff stalk,2,1,5,15.39,5.16,2,1.67,66.01
PHR62,PI601786,non-stiff stalk,2,1,5,11.93,5.08,2.12,1.55,70.13
A619,PI587139,non-stiff stalk,2,1,5,13.52,5.47,1.8,1.61,68.93
DK78371A,PI601438,non-stiff stalk,2,1,5,11.85,5.3,1.7,1.5,68.74
LH213,PI547090,non-stiff stalk,2,1,5,12.2,4.86,1.91,1.51,68.89
MBST,PI601566,non-stiff stalk,2,1,5,14.69,5.25,1.77,1.62,70.35
PHW65,PI601501,non-stiff stalk,2,1,5,10.16,4.73,1.67,1.38,69.74
PH207,PI601005,non-stiff stalk,2,1,5,12.54,4.72,2.05,1.55,68.78
Pa762,Ames27184,non-stiff stalk,2,1,5,10.24,5.65,1.46,1.36,68.64
Pa778,PI560081,non-stiff stalk,2,1,5,14.65,5.44,2.06,1.66,67.49
LH215,PI552815,non-stiff stalk,2,1,5,13.28,4.63,2.01,1.56,68.38
PHG35,PI601008,non-stiff stalk,2,1,5,13.17,4.47,2.05,1.55,68.71
PHW79,PI601576,non-stiff stalk,2,1,5,10.43,4.62,1.59,1.35,70.71
PH207,PI601005,non-stiff stalk,2,1,5,14.69,4.39,1.91,1.62,69.69
WIL901,PI601685,non-stiff stalk,2,1,5,12.84,4.67,1.76,1.51,70.01
Seagull Seventeen,PI600751,non-stiff stalk,2,1,5,13.44,4.67,1.73,1.53,71.15
Va35,PI587150,non-stiff stalk,2,1,5,12.18,5.9,1.62,1.46,68.97
Va26,PI587149,non-stiff stalk,2,1,5,12.17,5.33,1.59,1.46,70.11
PH207,PI601005,non-stiff stalk,2,1,5,12.96,5.19,2.21,1.6,67.82
L 289,NSL65872,non-stiff stalk,2,1,5,11.78,4.72,1.79,1.5,68.84
MBPM,PI601440,non-stiff stalk,2,1,5,10.31,5.16,1.72,1.4,68.65
MBPM,PI601440,non-stiff stalk,2,1,5,10.43,5.11,1.73,1.41,68.25
H95,Ames19319,non-stiff stalk,2,1,5,12.6,5.14,1.93,1.54,69.35
PHR55,PI548804,non-stiff stalk,2,1,5,10.94,4.78,1.96,1.47,67.82
PHV78,PI601470,non-stiff stalk,2,1,5,9.84,4.47,1.72,1.36,69.68
PH207,PI601005,non-stiff stalk,2,1,5,13.51,4.39,1.89,1.56,70.08
6M502,PI601561,non-stiff stalk,2,1,5,9.75,4.42,1.72,1.37,71.66
Va22,Ames19328,non-stiff stalk,2,1,5,15.75,6.03,1.56,1.66,68.13
PHJ33,PI601774,non-stiff stalk,2,1,5,12.56,4.76,1.86,1.53,69.56
PHW43,PI601792,non-stiff stalk,2,1,5,13.13,5.06,1.67,1.56,70.7
B97,PI564682,non-stiff stalk,2,1,5,11.35,4.9,1.69,1.45,69.25
PHG83,PI601229,non-stiff stalk,2,1,5,10.19,5.12,1.57,1.38,69.9
Va59,Ames19016,non-stiff stalk,2,1,5,13.94,5.51,1.73,1.6,69.51
LH59,PI601466,non-stiff stalk,2,1,5,11.41,5.19,1.69,1.47,68.83
PHR58,PI548805,non-stiff stalk,2,1,5,13.56,4.9,1.78,1.56,69.52
PHZ51,PI601322,non-stiff stalk,2,1,5,10.28,5.09,1.68,1.38,70.26
LH128,PI547086,non-stiff stalk,2,1,5,10.2,4.9,1.83,1.42,69.18
PHT22,PI601788,non-stiff stalk,2,1,5,9.97,4.21,1.91,1.4,69.44
Mo46,PI583351,non-stiff stalk,2,1,5,13.46,5.61,2.03,1.63,69.45
PH207,PI601005,non-stiff stalk,2,1,5,13.08,4.58,1.83,1.54,69.29
DKMBNA,PI601209,non-stiff stalk,1,2,5,13.67,4.82,1.61,1.55,69.57
PHK42,PI601495,non-stiff stalk,1,2,5,10.23,5.33,1.93,1.44,68.26
W153R,PI587154,non-stiff stalk,1,2,5,12.8,4.86,1.65,1.54,67.11
L 135,PI601727,non-stiff stalk,1,2,5,11.29,4.54,1.91,1.48,68.39
PHG29,PI601270,non-stiff stalk,1,2,5,10.91,4.67,1.42,1.34,68.4
MS224,Ames24749,non-stiff stalk,1,2,5,14.23,5.84,1.8,1.62,68.34
IBC2,PI601459,non-stiff stalk,1,2,5,12.4,4.98,1.77,1.51,69.35
LH127,PI538007,non-stiff stalk,1,2,5,11.95,5.42,1.63,1.48,69.92
PH207,PI601005,non-stiff stalk,1,2,5,12.8,4.1,2.39,1.6,69.74
Oh40B,NSL28966,non-stiff stalk,1,2,5,13.64,6.11,1.88,1.62,69.37
PHP02,PI601570,non-stiff stalk,1,2,5,12.09,4.59,2.04,1.47,69.34
PHK76,PI601496,non-stiff stalk,1,2,5,10.59,4.67,1.95,1.42,70.51
A682,PI587143,non-stiff stalk,1,2,5,13.16,5.01,2.08,1.57,68.69
PH207,PI601005,non-stiff stalk,1,2,5,13.2,4.69,1.89,1.55,67.32
DKIB014,PI601208,non-stiff stalk,1,2,5,11.08,5.23,1.74,1.42,69.04
B91,PI527700,non-stiff stalk,1,2,5,13.44,5.67,1.5,1.51,68.94
C123,Ames19313,non-stiff stalk,1,2,5,12.62,4.83,1.88,1.53,67.33
PHN82,PI601783,non-stiff stalk,1,2,5,9.69,4.11,1.56,1.29,69.84
LH57,PI601317,non-stiff stalk,1,2,5,12.61,5.23,1.77,1.54,69.5
PHR36,PI601361,non-stiff stalk,1,2,5,10.81,5.56,1.73,1.45,69.59
PHW20,PI601791,non-stiff stalk,1,2,5,11.68,5.56,2.01,1.51,68.51
LH38,PI600791,non-stiff stalk,1,2,5,14.6,5.72,1.77,1.61,67.87
Pa392,PI517968,non-stiff stalk,1,2,5,13.62,5.89,1.91,1.6,68.04
MS225,Ames24750,non-stiff stalk,1,2,5,14.95,5.77,1.63,1.64,67.93
PHG72,PI601319,non-stiff stalk,1,2,5,11.52,5.36,1.83,1.5,68.91
LH82,PI601170,non-stiff stalk,1,2,5,11.31,4.61,1.75,1.49,68.05
PHG47,PI601318,non-stiff stalk,1,2,5,12.43,5.46,1.48,1.51,69.46
PHN11,PI601497,non-stiff stalk,1,2,5,11.65,5.1,1.81,1.5,68.56
2MA22,PI601560,non-stiff stalk,1,2,5,12.68,4.53,1.79,1.54,68.55
L 127,PI601726,non-stiff stalk,1,2,5,12.17,4.73,1.89,1.53,69.08
PHH93,PI601567,non-stiff stalk,1,2,5,11.12,4.72,2.03,1.48,68.91
PH207,PI601005,non-stiff stalk,1,2,5,12.71,4.75,1.94,1.55,68.38
PH207,PI601005,non-stiff stalk,1,2,5,12,5.02,1.83,1.51,68.32
PH207,PI601005,non-stiff stalk,1,2,5,12.16,4.77,1.82,1.52,69.09
L 139,PI601728,non-stiff stalk,1,2,5,11.78,4.9,1.76,1.5,68.35
PHG50,PI601006,non-stiff stalk,1,2,5,12.15,4.78,1.73,1.48,69.83
PHR55,PI548804,non-stiff stalk,2,2,5,10.46,5.47,1.8,1.43,66.59
Seagull Seventeen,PI600751,non-stiff stalk,2,2,5,12.36,5.51,1.85,1.55,68.43
PH207,PI601005,non-stiff stalk,2,2,5,12.46,4.92,1.97,1.53,67.96
Va59,Ames19016,non-stiff stalk,2,2,5,13.26,5.67,1.75,1.56,68.51
78551S,PI601562,non-stiff stalk,2,2,5,13.56,5.55,1.95,1.62,67.11
DK78371A,PI601438,non-stiff stalk,2,2,5,10.48,5.77,1.69,1.42,67.64
PHR58,PI548805,non-stiff stalk,2,2,5,11.85,4.77,1.95,1.5,70.05
6M502,PI601561,non-stiff stalk,2,2,5,8.71,4.77,1.81,1.34,67.52
PH207,PI601005,non-stiff stalk,2,2,5,12.96,5.31,2.13,1.59,68.5
MS221,Ames24746,non-stiff stalk,2,2,5,13.73,4.74,1.75,1.55,66.79
LH128,PI547086,non-stiff stalk,2,2,5,10.11,4.68,1.7,1.45,69
PHW43,PI601792,non-stiff stalk,2,2,5,11.98,4.63,1.71,1.52,68.36
Va26,PI587149,non-stiff stalk,2,2,5,11.34,5.54,1.77,1.47,68.8
PHT22,PI601788,non-stiff stalk,2,2,5,9,4.05,2.19,1.41,67.34
LH215,PI552815,non-stiff stalk,2,2,5,13.49,4.48,2.07,1.56,66.61
L 289,NSL65872,non-stiff stalk,2,2,5,12.47,5.31,1.69,1.55,69.24
WIL903,PI601686,non-stiff stalk,2,2,5,12.07,4.69,1.62,1.47,70.5
PH207,PI601005,non-stiff stalk,2,2,5,12.35,4.21,2.17,1.58,67.32
B97,PI564682,non-stiff stalk,2,2,5,10.67,4.74,1.69,1.41,68.39
Va22,Ames19328,non-stiff stalk,2,2,5,15.38,5.49,1.83,1.68,67.05
H95,Ames19319,non-stiff stalk,2,2,5,12.62,4.67,1.62,1.51,69.56
Va35,PI587150,non-stiff stalk,2,2,5,11.75,5.4,1.72,1.47,69.67
PHV63,PI601500,non-stiff stalk,2,2,5,9.27,5.18,1.84,1.38,68.34
MBST,PI601566,non-stiff stalk,2,2,5,11.65,5.13,1.6,1.47,69.12
Pa778,PI560081,non-stiff stalk,2,2,5,15.42,5.01,2.04,1.72,67.88
Pa762,Ames27184,non-stiff stalk,2,2,5,10.18,5.11,1.51,1.38,68.84
PHJ33,PI601774,non-stiff stalk,2,2,5,12.86,5.25,2.07,1.59,68.69
LH213,PI547090,non-stiff stalk,2,2,5,11.27,5.61,1.89,1.48,69.43
Mo46,PI583351,non-stiff stalk,2,2,5,12.93,6.13,1.91,1.59,67.47
MBPM,PI601440,non-stiff stalk,2,2,5,11.69,5.14,1.8,1.47,68.6
PH207,PI601005,non-stiff stalk,2,2,5,13.19,4.44,1.94,1.57,68.17
A619,PI587139,non-stiff stalk,2,2,5,14.05,5.41,1.77,1.58,68.23
PHW79,PI601576,non-stiff stalk,2,2,5,10.5,5.13,1.57,1.37,69.21
PHW65,PI601501,non-stiff stalk,2,2,5,10.78,4.71,1.72,1.42,68.79
PHG83,PI601229,non-stiff stalk,2,2,5,8.99,5.13,1.55,1.32,68.22
PHZ51,PI601322,non-stiff stalk,2,2,5,11.08,5.68,1.82,1.45,69.54
PHR62,PI601786,non-stiff stalk,2,2,5,11.88,4.79,1.93,1.52,68.38
PH207,PI601005,non-stiff stalk,2,2,5,14.15,4.72,1.9,1.62,67.52
LH59,PI601466,non-stiff stalk,2,2,5,10.02,5.98,1.64,1.41,68.91
IDS28,Ames24575,popcorn,2,1,1,16.32,5.13,2.18,1.7,71.35
SG 30A,NSL75980,popcorn,2,1,1,16.06,4.69,2.11,1.74,72.06
HP301,PI587131,popcorn,2,1,1,13.59,4.52,2.82,1.7,70.24
IDS91,Ames24577,popcorn,2,1,1,14.15,4.69,2.3,1.65,72.07
IDS91,Ames24577,popcorn,2,1,1,14.3,4.98,2.15,1.66,71.48
B-18 INBR.FR.SUPERGOLD,PI340855,popcorn,1,2,1,12.06,4.1,2.04,1.58,70.49
HP301,PI587131,popcorn,2,2,1,13.51,5.03,2.46,1.65,72.44
IDS91,Ames24577,popcorn,2,2,1,13.1,4.62,2.51,1.59,71.49
IDS28,Ames24575,popcorn,2,2,1,16.16,4.63,1.92,1.64,72.76
SG 30A,NSL75980,popcorn,2,2,1,15.11,4.06,2.14,1.6,72.22
B-18 INBR.FR.SUPERGOLD,PI340855,popcorn,1,1,2,10.33,4.53,1.98,1.52,70.28
IDS28,Ames24575,popcorn,2,1,2,13.92,5.14,1.96,1.67,69.79
IDS91,Ames24577,popcorn,2,1,2,11.98,4.56,2.2,1.55,69.47
SG 30A,NSL75980,popcorn,2,1,2,12.64,4,2.07,1.57,70.05
HP301,PI587131,popcorn,2,1,2,12.13,4.73,2.36,1.59,70.24
B-18 INBR.FR.SUPERGOLD,PI340855,popcorn,1,2,2,11.14,4.8,1.81,1.55,69.97
SG 30A,NSL75980,popcorn,2,2,2,12.58,4.51,2.12,1.65,70.7
IDS91,Ames24577,popcorn,2,2,2,12.78,4.45,2.21,1.58,70.96
HP301,PI587131,popcorn,2,2,2,12.24,5.39,2.1,1.58,69.09
IDS28,Ames24575,popcorn,2,2,2,14.4,4.9,1.94,1.69,71.96
B-18 INBR.FR.SUPERGOLD,PI340855,popcorn,1,1,3,12.91,3.07,2.87,1.61,73.64
IDS28,Ames24575,popcorn,2,1,3,17.93,4.8,2.4,1.82,76.56
IDS91,Ames24577,popcorn,2,1,3,12.87,3.99,3.39,1.6,74.81
SG 30A,NSL75980,popcorn,2,1,3,14.21,3.52,3.16,1.7,74.52
HP301,PI587131,popcorn,2,1,3,14.19,3.59,3.57,1.74,74.13
B-18 INBR.FR.SUPERGOLD,PI340855,popcorn,1,2,3,12.74,3.08,2.74,1.66,75.27
IDS28,Ames24575,popcorn,2,2,3,17.82,4.93,2.96,1.84,75.29
SG 30A,NSL75980,popcorn,2,2,3,14.72,3.98,2.9,1.7,74.13
IDS91,Ames24577,popcorn,2,2,3,15.18,3.45,3.22,1.71,74.53
HP301,PI587131,popcorn,2,2,3,14.96,4.33,3.57,1.79,73.58
SG 30A,NSL75980,popcorn,2,1,4,14.3,4.94,2.6,1.7,75.34
HP301,PI587131,popcorn,2,1,4,14.2,4.38,2.56,1.64,73.74
B-18 INBR.FR.SUPERGOLD,PI340855,popcorn,1,2,4,14.7,4.17,2.35,1.71,75.24
IDS91,Ames24577,popcorn,2,2,4,14.44,4.92,2.92,1.75,73.18
SG 30A,NSL75980,popcorn,2,2,4,14.92,4.22,2.35,1.67,74.5
IDS91,Ames24577,popcorn,2,1,5,12.45,5.02,2.41,1.59,69.83
IDS91,Ames24577,popcorn,2,2,5,12.14,4.69,2.4,1.56,69.58
IDS28,Ames24575,popcorn,2,2,5,13.56,5.54,2.09,1.61,68.79
DK78002A,PI601301,stiff stalk,1,1,1,15.36,4,1.57,1.54,71.57
A634,Ames19308,stiff stalk,1,1,1,15.88,4.62,2,1.62,69.9
A680,Ames23503,stiff stalk,1,1,1,11.11,4.15,1.77,1.42,71.46
LH146Ht,PI601402,stiff stalk,1,1,1,14.98,4.64,1.71,1.59,71.21
LH145,PI600959,stiff stalk,1,1,1,13.88,3.99,1.79,1.51,72.17
PHG86,PI601442,stiff stalk,1,1,1,9.4,3.7,2.14,1.35,70.96
N192,PI550566,stiff stalk,1,1,1,14.13,4.05,1.61,1.54,71.1
PHG71,PI601150,stiff stalk,1,1,1,14.11,4.51,1.83,1.54,71.49
DKPB80,PI601441,stiff stalk,1,1,1,10.45,4.19,1.65,1.35,71.72
PHG80,PI601037,stiff stalk,1,1,1,11.1,3.56,1.61,1.39,71.51
NS501,PI601583,stiff stalk,1,1,1,15.18,4.7,1.86,1.62,70.19
B76,PI550483,stiff stalk,1,1,1,13.98,5.27,1.76,1.5,70.27
DJ7,PI601191,stiff stalk,1,1,1,8.84,3.87,1.59,1.26,70.72
B73,PI550473,stiff stalk,1,1,1,9.98,3.58,1.71,1.31,70.49
LH202,PI539924,stiff stalk,1,1,1,9.12,3.7,1.46,1.23,71.71
PHP55,PI601784,stiff stalk,1,1,1,11.34,3.36,1.87,1.41,71.93
2FACC,PI601808,stiff stalk,1,1,1,10.36,4.32,1.7,1.41,71.52
W64A,PI587152,stiff stalk,1,1,1,13.57,5.3,1.54,1.58,70.11
B73,PI550473,stiff stalk,1,1,1,9.72,3.93,1.45,1.31,70.99
IBB14,PI601565,stiff stalk,1,1,1,10.86,3.8,1.73,1.39,72.01
LP5,PI601378,stiff stalk,1,1,1,10.39,3.75,1.52,1.31,72.6
PHN66,PI548802,stiff stalk,1,1,1,12.56,4.1,1.63,1.45,73.08
LH74,PI600957,stiff stalk,1,1,1,12.85,4.64,1.82,1.5,71.94
LH119,PI600954,stiff stalk,1,1,1,13.15,4.88,1.61,1.55,72.13
PHW17,PI601362,stiff stalk,1,1,1,13.3,4.46,1.78,1.57,71.98
DKFBHJ,PI601439,stiff stalk,1,1,1,12.55,4.72,1.77,1.47,71.73
CO258,Ames27053,stiff stalk,2,1,1,12.31,4.57,1.87,1.47,71.16
FR19,PI600772,stiff stalk,2,1,1,14.9,4.6,1.86,1.59,72.15
CO257,Ames27052,stiff stalk,2,1,1,14.27,4,2,1.62,71.87
CO257,Ames27052,stiff stalk,2,1,1,14.17,3.46,2.11,1.62,71.22
B73,PI550473,stiff stalk,2,1,1,11.13,4.21,1.45,1.34,72.47
PHW52,PI601575,stiff stalk,2,1,1,12.58,3.91,1.53,1.44,72.87
PHJ70,PI601775,stiff stalk,2,1,1,11.38,3.94,1.42,1.36,72.83
H110,PI550526,stiff stalk,2,1,1,14.85,4.51,1.86,1.64,73.01
LH208,PI547088,stiff stalk,2,1,1,12.8,3.95,1.74,1.42,72.43
LH192,PI539926,stiff stalk,2,1,1,13.14,4.78,1.74,1.49,71.42
PHT10,PI601573,stiff stalk,2,1,1,11.97,4.51,1.41,1.4,72.07
B73,PI550473,stiff stalk,2,1,1,11.7,4.45,1.65,1.41,71.64
LP1 NR HT,PI600729,stiff stalk,2,1,1,14.93,4.81,2,1.65,70.69
LP1 NR HT,PI600729,stiff stalk,2,1,1,14.86,4.45,1.92,1.63,70.74
NS701,PI601417,stiff stalk,2,1,1,12.01,4.34,1.42,1.38,72.39
NS701,PI601417,stiff stalk,2,1,1,12,4.46,1.44,1.4,72.3
PHK29,PI601468,stiff stalk,2,1,1,11.86,3.99,1.77,1.41,72.55
LH1,PI644101,stiff stalk,2,1,1,12.36,4,1.67,1.44,72.49
LH1,PI644101,stiff stalk,2,1,1,12.21,4.3,1.66,1.44,72.55
B37,PI550467,stiff stalk,2,1,1,12.62,5.47,2.03,1.56,70.57
B37,PI550467,stiff stalk,2,1,1,12.65,4.67,1.89,1.54,71.11
LH193,PI539927,stiff stalk,2,1,1,11.36,4.12,1.62,1.39,71.68
LH193,PI539927,stiff stalk,2,1,1,11.49,4.23,1.51,1.41,71.78
B109,PI597927,stiff stalk,2,1,1,10.11,4.52,1.64,1.4,72.61
H84,PI587128,stiff stalk,2,1,1,12.18,5.21,1.9,1.51,72.21
H84,PI587128,stiff stalk,2,1,1,12.09,4.59,1.99,1.47,71.6
4N506,PI601745,stiff stalk,2,1,1,11.96,4.57,1.61,1.42,73
PHT55,PI601498,stiff stalk,2,1,1,12.91,5.33,1.85,1.51,71.94
W23,NSL30060,stiff stalk,2,1,1,11.18,4.79,2,1.48,71.21
NC250,PI550555,stiff stalk,2,1,1,15.07,5.1,1.99,1.65,70.02
NC250,PI550555,stiff stalk,2,1,1,15.45,5.55,1.93,1.66,70.3
LH195,PI537097,stiff stalk,2,1,1,10.26,4.72,1.33,1.25,72.92
H105W,PI587127,stiff stalk,2,1,1,14.01,4.34,1.78,1.54,72.19
B73,PI550473,stiff stalk,2,1,1,8.45,4.01,1.31,1.26,70.84
B14A,PI550461,stiff stalk,2,1,1,9.84,3.08,1.53,1.28,72.05
NC328,Ames27160,stiff stalk,2,1,1,9.78,4.49,1.64,1.36,71.03
NC328,Ames27160,stiff stalk,2,1,1,9.76,4.4,1.63,1.34,70.72
B65,PI550463,stiff stalk,2,1,1,15.47,4.89,1.65,1.6,72.23
N28Ht,Ames27138,stiff stalk,2,1,1,12.64,3.86,1.84,1.41,72.49
B105,PI594048,stiff stalk,2,1,1,12.42,4.66,1.62,1.51,69.82
B73,PI550473,stiff stalk,2,1,1,8.86,3.56,1.43,1.24,71.62
LH205,PI537099,stiff stalk,2,1,1,10.25,4.06,1.47,1.29,71.35
Os426,Ames22756,stiff stalk,2,1,1,14.68,3.83,1.73,1.56,71.87
PHW17,PI601362,stiff stalk,1,2,1,11.41,4.65,1.6,1.5,72.19
LH74,PI600957,stiff stalk,1,2,1,11.12,5.01,1.74,1.48,70.34
LH74,PI600957,stiff stalk,1,2,1,11.31,4.48,1.5,1.44,71.09
NS501,PI601583,stiff stalk,1,2,1,14.36,4.64,1.67,1.59,70.68
NS501,PI601583,stiff stalk,1,2,1,14.3,4.84,1.55,1.6,71.02
DKFBHJ,PI601439,stiff stalk,1,2,1,11.62,4.19,1.61,1.41,72.01
B73,PI550473,stiff stalk,1,2,1,10.55,4,1.64,1.39,70.43
B73,PI550473,stiff stalk,1,2,1,10.45,4.07,1.79,1.42,70.64
LH145,PI600959,stiff stalk,1,2,1,14.81,4.62,1.66,1.62,71.75
LH132,PI601004,stiff stalk,1,2,1,11.52,5.01,1.46,1.41,72.55
LH132,PI601004,stiff stalk,1,2,1,11.36,5.04,1.45,1.43,72.41
B73,PI550473,stiff stalk,1,2,1,8.82,3.91,1.29,1.25,72.18
IBB14,PI601565,stiff stalk,1,2,1,10.29,3.33,2.11,1.39,69.9
LH119,PI600954,stiff stalk,1,2,1,12.34,4.39,1.88,1.49,70.02
2FACC,PI601808,stiff stalk,1,2,1,10.28,3.91,1.76,1.35,70.57
PHG80,PI601037,stiff stalk,1,2,1,9.86,3.7,1.61,1.32,70.7
B73,PI550473,stiff stalk,1,2,1,9.17,4.4,1.68,1.35,70.92
LH146Ht,PI601402,stiff stalk,1,2,1,12.5,4.66,1.44,1.47,72.61
LP5,PI601378,stiff stalk,1,2,1,8.27,4.02,1.36,1.25,71.37
PHB47,PI601009,stiff stalk,1,2,1,12.14,4.47,1.72,1.46,71.89
A635,Ames19309,stiff stalk,1,2,1,12.44,3.35,1.79,1.47,70.99
N192,PI550566,stiff stalk,1,2,1,13.37,4.23,1.26,1.47,72.73
A632,PI587140,stiff stalk,1,2,1,12.79,4.38,1.55,1.49,70.99
LH202,PI539924,stiff stalk,1,2,1,9.27,4.08,1.43,1.3,72.04
A680,Ames23503,stiff stalk,1,2,1,9.84,4.22,1.67,1.37,70.92
PHG86,PI601442,stiff stalk,1,2,1,9.73,4.61,1.93,1.42,70.7
PHG86,PI601442,stiff stalk,1,2,1,10.06,4.3,1.75,1.41,72.08
LH149,PI601493,stiff stalk,1,2,1,8,3.41,1.44,1.25,71.93
PHP55,PI601784,stiff stalk,1,2,1,10.43,2.39,1.59,1.31,72.51
B73,PI550473,stiff stalk,1,2,1,9.58,4.4,1.63,1.36,70.36
DJ7,PI601191,stiff stalk,1,2,1,8.14,3.68,1.73,1.27,70.43
B73,PI550473,stiff stalk,1,2,1,8.36,3.28,1.52,1.24,70.79
PHG71,PI601150,stiff stalk,1,2,1,13.46,4.39,1.84,1.54,71.67
B76,PI550483,stiff stalk,1,2,1,12.5,4.65,1.62,1.47,70.98
PHN66,PI548802,stiff stalk,1,2,1,11.33,4.3,2.01,1.43,70.05
PHN66,PI548802,stiff stalk,1,2,1,11.36,3.8,1.83,1.43,70.72
W64A,PI587152,stiff stalk,1,2,1,12.6,4.49,1.57,1.54,72.74
PHW03,PI601790,stiff stalk,1,2,1,13.05,5.61,2.02,1.58,70.32
A634,Ames19308,stiff stalk,1,2,1,14.24,4.78,1.66,1.58,71.9
DKPB80,PI601441,stiff stalk,1,2,1,8.95,4.54,1.44,1.31,72.22
DK78002A,PI601301,stiff stalk,1,2,1,12.62,4.31,1.7,1.5,70.56
ICI 441,PI559381,stiff stalk,1,2,1,9.81,4.2,1.61,1.31,71.14
LH190,PI539922,stiff stalk,2,2,1,9.58,4.86,1.64,1.36,70.75
B73,PI550473,stiff stalk,2,2,1,8.75,3.46,1.48,1.27,71.77
N28Ht,Ames27138,stiff stalk,2,2,1,11.46,3.77,1.76,1.45,72.82
LH192,PI539926,stiff stalk,2,2,1,11.22,4.16,1.86,1.41,70.79
H84,PI587128,stiff stalk,2,2,1,11.15,4.75,1.88,1.48,71.7
B73,PI550473,stiff stalk,2,2,1,8.73,4.7,1.28,1.28,71.87
B105,PI594048,stiff stalk,2,2,1,11.27,4.8,1.62,1.42,69.7
PHJ70,PI601775,stiff stalk,2,2,1,10.41,3.71,1.53,1.32,71.83
LH208,PI547088,stiff stalk,2,2,1,12.57,3.85,1.61,1.42,73.42
PHM10,PI601778,stiff stalk,2,2,1,11.69,4.23,1.58,1.44,73.15
PHM10,PI601778,stiff stalk,2,2,1,11.6,4.43,1.6,1.46,73.18
B73,PI550473,stiff stalk,2,2,1,10.5,3.43,1.55,1.34,73.05
4N506,PI601745,stiff stalk,2,2,1,11.53,4.5,1.69,1.41,71.9
LH1,PI644101,stiff stalk,2,2,1,11.54,3.35,2.05,1.47,70.98
LH1,PI644101,stiff stalk,2,2,1,11.78,3.3,2.07,1.49,71.23
H110,PI550526,stiff stalk,2,2,1,14.82,4.39,1.86,1.61,71.84
H110,PI550526,stiff stalk,2,2,1,14.54,4.84,1.91,1.66,72.39
LH193,PI539927,stiff stalk,2,2,1,10.3,4.11,1.73,1.33,72.38
B65,PI550463,stiff stalk,2,2,1,15.25,4.98,1.8,1.61,71.8
LH194,PI539923,stiff stalk,2,2,1,9.34,4.69,1.62,1.26,71.89
NS701,PI601417,stiff stalk,2,2,1,10.46,3.86,1.52,1.32,72.89
PHW52,PI601575,stiff stalk,2,2,1,11.17,3.48,1.77,1.39,71.77
LP1 NR HT,PI600729,stiff stalk,2,2,1,15.34,4.37,1.84,1.63,72.68
NC250,PI550555,stiff stalk,2,2,1,15.14,4.57,2.06,1.67,71.4
CO258,Ames27053,stiff stalk,2,2,1,11.28,5.26,1.32,1.49,72.06
FR19,PI600772,stiff stalk,2,2,1,13.6,3.8,1.8,1.51,72.51
NC328,Ames27160,stiff stalk,2,2,1,10.27,5.29,1.58,1.33,72.3
PHK29,PI601468,stiff stalk,2,2,1,9.36,4.02,1.69,1.22,72.97
LH205,PI537099,stiff stalk,2,2,1,9.73,3.48,1.35,1.19,72.67
LH205,PI537099,stiff stalk,2,2,1,12.66,3.82,1.34,1.51,71.45
B73,PI550473,stiff stalk,2,2,1,10.77,3.97,1.52,1.37,71.7
H105W,PI587127,stiff stalk,2,2,1,12.6,4.46,1.81,1.51,72.73
Os426,Ames22756,stiff stalk,2,2,1,17.14,3.57,1.72,1.64,71.53
B14A,PI550461,stiff stalk,2,2,1,11.12,3.02,1.66,1.38,71.39
CO257,Ames27052,stiff stalk,2,2,1,12.88,4.55,1.81,1.55,70.31
