Accession,Origin,Group,Starch,Protein,Oil,Fib,Ash,Density
PI587137,"US, Michigan",unclassified,60.56,13.02,3.4,1.36,1.2,1.29
PI587138,"US, Minnesota",unclassified,57.71,14.1,4.62,1.04,1.09,1.31
PI587141,"US, Minnesota",unclassified,64.7,10.95,3.12,0.8,1.15,1.35
PI587142,"US, Minnesota",unclassified,66.59,10.28,2.29,1.2,1.14,1.33
PI587147,"US, Pennsylvania",unclassified,60.35,14.63,3.32,1.11,1.23,1.33
PI587148,US,unclassified,59.39,13.57,5.37,0.62,1.29,1.34
PI587151,"US, Virginia",unclassified,59.88,14.1,3.64,0.87,1.13,1.34
PI591015,South Africa,unclassified,62.79,10.29,5.24,2.29,1.11,1.21
PI592733,"US, Illinois",unclassified,64.81,11.52,3.52,1.19,1.1,1.31
PI592735,"US, Illinois",unclassified,62.76,13.87,3.3,1.19,1.23,1.32
PI592741,"US, Nebraska",unclassified,64.99,9.43,4.51,1.4,1.1,1.29
PI593008,"US, Hawaii",unclassified,60.75,14.02,3.56,1.55,1.09,1.27
PI593010,"US, Hawaii",unclassified,62.21,14.62,3.07,0.85,1.1,1.34
PI593015,"US, Hawaii",unclassified,62.45,13.08,3.55,0.96,1.01,1.33
PI593017,"US, Hawaii",unclassified,62.66,12.56,3.75,1.42,1,1.29
PI593460,"US, Minnesota",unclassified,61.88,12.57,3.62,1.93,1.27,1.25
PI594050,"US, Nebraska",unclassified,65.7,10.75,3.3,1.27,1.15,1.31
PI594051,"US, Nebraska",unclassified,65.78,11.48,2.59,0.94,1.06,1.33
PI594052,"US, Nebraska",unclassified,63.22,13.85,3.24,1.69,1.18,1.27
PI594053,"US, Nebraska",unclassified,64.07,12.15,4.23,1.58,1.2,1.28
PI594054,"US, Nebraska",unclassified,61.08,13.17,3.67,1.08,0.89,1.31
PI594055,"US, Nebraska",unclassified,63.12,13.96,3.23,0.86,1.04,1.33
PI594056,"US, Nebraska",unclassified,63.56,12.53,3.94,1.1,1.13,1.31
PI594057,"US, Nebraska",unclassified,61.86,13.61,2.96,1.01,0.95,1.32
PI594058,"US, Nebraska",unclassified,65.44,12.54,2.26,1.66,1.08,1.28
PI594059,"US, Nebraska",unclassified,65.95,11.49,2.92,1.01,1.07,1.33
PI594060,"US, Nebraska",unclassified,63.21,13.09,3.42,1.47,1.15,1.29
PI594061,"US, Nebraska",unclassified,59.91,14.21,3.42,0.93,0.91,1.32
PI594062,"US, Nebraska",unclassified,64.46,13,3.02,1.15,1.07,1.31
PI594063,"US, Nebraska",unclassified,64.55,13.16,2.55,1.3,1.12,1.31
PI594064,"US, Nebraska",unclassified,61.41,14.06,3.87,1.52,1.16,1.28
PI594065,"US, Nebraska",unclassified,61.11,15.32,3.01,1.44,1.04,1.29
PI594066,"US, Nebraska",unclassified,64.53,12.73,3.23,0.77,1.09,1.34
PI594067,"US, Nebraska",unclassified,61.27,13.88,3.65,1.72,1.05,1.26
PI594068,"US, Nebraska",unclassified,65.02,12.35,2.75,0.84,1.02,1.35
PI594071,"US, Nebraska",unclassified,64.93,12.36,3.67,1.82,1.29,1.27
PI594072,"US, Nebraska",unclassified,63.1,13.75,2.31,1.57,0.88,1.28
PI594073,"US, Nebraska",unclassified,63.44,13.24,2.31,1.59,0.88,1.28
PI594074,"US, Nebraska",unclassified,64.77,12.91,2.7,1.1,1.06,1.33
PI594075,"US, Nebraska",unclassified,61.69,13.36,3.11,0.99,0.96,1.32
PI594077,"US, Nebraska",unclassified,63.17,14.01,2.27,0.94,1.03,1.34
PI594078,"US, Nebraska",unclassified,62.31,13.77,3.76,1.59,1.23,1.28
PI594079,"US, Nebraska",unclassified,62.19,14.74,3.59,1.96,1.28,1.25
PI594080,"US, Nebraska",unclassified,63.06,12.81,3.62,1.02,1.02,1.32
PI594081,"US, Nebraska",unclassified,59.91,15.82,2.79,1.27,1.12,1.31
PI594082,"US, Nebraska",unclassified,65.85,11.86,2.49,1.34,1.11,1.31
PI594083,"US, Nebraska",unclassified,65.07,10.72,3.96,1.42,1.11,1.29
PI594084,"US, Nebraska",unclassified,66.02,11.54,2.72,1.49,1.11,1.29
PI594085,"US, Nebraska",unclassified,64.9,11.85,2.6,1.24,1.01,1.31
PI594086,"US, Nebraska",unclassified,64.96,12.38,2.82,1.4,1.1,1.3
PI594087,"US, Nebraska",unclassified,64.03,12.36,2.16,1.18,0.87,1.32
PI594088,"US, Nebraska",unclassified,64.74,12.35,1.66,1.04,0.86,1.33
PI594089,"US, Nebraska",unclassified,66.32,11.11,1.81,1,0.93,1.33
PI594090,"US, Nebraska",unclassified,64.36,11.56,2.54,1.05,0.91,1.32
PI594091,"US, Nebraska",unclassified,64.37,12.28,3.67,1.28,1.13,1.3
PI595366,"US, Nebraska",unclassified,65.57,11.31,4.26,2.45,1.37,1.21
PI595367,"US, Nebraska",unclassified,65.25,12.1,3.06,1.23,1.11,1.31
PI595616,"US, North Dakota",unclassified,63.18,12.92,2.59,0.91,1.03,1.34
PI596354,"US, Nebraska",unclassified,64.48,13.72,2.76,1.75,1.24,1.27
PI596355,"US, Nebraska",unclassified,65.88,10.42,4.08,1.53,1.12,1.28
PI596356,"US, Nebraska",unclassified,65.38,12.11,2.79,1.2,1.04,1.31
PI596357,"US, Nebraska",unclassified,62.16,15.11,3.17,1.67,1.21,1.27
PI596500,"US, Iowa",unclassified,63.89,11.89,3.45,1.63,1.17,1.28
PI596505,"US, Iowa",unclassified,65.51,8.51,5.73,2.49,1.26,1.19
PI596506,"US, Iowa",unclassified,61.59,12.47,2.79,1.04,1.03,1.33
PI596627,"US, Mississippi",unclassified,61.8,13.1,4.1,1.25,1.11,1.3
PI597578,"US, Nebraska",unclassified,64.1,12.13,2.76,1.29,0.88,1.3
PI600981,"US, Indiana",unclassified,64.69,12.29,2.03,1.01,1.08,1.34
PI601003,"US, Iowa",unclassified,64.38,11.96,2.71,1.11,1.08,1.33
PI601007,"US, Iowa",unclassified,66.03,10.7,2.19,0.9,0.95,1.34
PI601080,"US, Nebraska",unclassified,62.29,12.21,4.46,1.63,1.35,1.28
PI601159,"US, Michigan",unclassified,64.67,12.84,1.73,0.87,1.02,1.35
PI601171,"US, Iowa",unclassified,66.93,10.32,3.15,1.41,1.14,1.3
PI601172,"US, Missouri",unclassified,63.2,10.72,3.53,1.18,1.14,1.32
PI601211,"US, Iowa",unclassified,60.99,12.22,3.72,2.04,0.98,1.23
PI601230,"US, Iowa",unclassified,65.24,10.7,1.9,1.4,0.95,1.3
PI601321,"US, Iowa",unclassified,62.38,11.77,3.62,1.08,0.92,1.31
PI601374,"US, Minnesota",unclassified,65.37,11.22,2.75,1.44,1.12,1.3
PI601375,"Canada, Ontario",unclassified,65.25,10.45,2.34,1.83,0.88,1.26
PI601376,"US, Minnesota",unclassified,61.25,13.71,3.61,1.11,1.19,1.32
PI601377,"US, Minnesota",unclassified,65.22,10.88,3.32,2.1,1.33,1.25
PI601404,"US, Iowa",unclassified,58.91,13.18,4.98,1.32,1.13,1.29
PI601416,"US, Iowa",unclassified,64.66,12.51,2.3,0.9,1,1.34
PI601430,"US, Minnesota",unclassified,62.75,11.2,2.48,1.55,1,1.28
PI601458,"US, Minnesota",unclassified,62.64,11.82,2.6,1.64,1.09,1.28
PI601467,"US, Iowa",unclassified,63.49,12.29,2.24,1.2,1.1,1.33
PI601469,"US, Iowa",unclassified,64.33,10.72,3.27,1.87,1.17,1.26
PI601489,"US, Minnesota",unclassified,62.62,11.88,3.54,1.73,1.19,1.27
